設問ID,設問タイトル,設問タイプ,選択肢,必須フラグ,表示順,表示フラグ,説明文
Q001,天文台の施設ID,text,,FALSE,1,TRUE,施設IDを半角で入力してください。
Q002,回答担当者のメールアドレス,text,,FALSE,2,TRUE,内容の確認連絡に使用します。公開はされません。
Q003,回答担当者名,text,,FALSE,3,TRUE,公開はされません。
Q004,施設の電話番号,text,,FALSE,4,TRUE,半角ハイフン区切りで入力してください。
Q005,施設名（正式名称）,text,,FALSE,5,TRUE,
Q006,施設名（英語名）,text,,FALSE,6,TRUE,
Q007,施設名（略称・愛称・天文台名）,text,,FALSE,7,TRUE,
Q010,天文台の所在地の郵便番号,text,,FALSE,8,TRUE,半角ハイフン区切りで入力してください。
Q011,天文台の所在の都道府県,text,,FALSE,9,TRUE,
Q012,天文台の住所（都道府県以下）,text,,FALSE,10,TRUE,
Q013,ホームページアドレス,text,,FALSE,11,TRUE,http:// または https:// から入力してください。
Q014,InstagramのアカウントID,text,,FALSE,12,TRUE,アカウントをお持ちの場合、IDを入力してください。
Q015,YouTubeチャンネルのURL,text,,FALSE,13,TRUE,チャンネルをお持ちの場合、URLを入力してください。
Q016,FacebookページのURL,text,,FALSE,14,TRUE,ページをお持ちの場合、URLを入力してください。
Q017,X（旧Twitter）のアカウントID,text,,FALSE,15,TRUE,アカウントをお持ちの場合、@を除いたIDを入力してください。
Q032,施設のセールスポイント,text,,FALSE,16,TRUE,白書やWebでの紹介文として使用します（200文字程度推奨）。
Q008,施設の開設年（西暦）,text,,FALSE,17,TRUE,半角数字4桁で入力してください。
Q009,施設の開設月,text,,FALSE,18,TRUE,半角数字で入力してください。
Q018,施設の開館時間,text,,FALSE,19,TRUE,例：09:00～17:00（夜間観望会については別欄でお尋ねします）
Q020,施設の開館時間についての補足,text,,FALSE,20,TRUE,曜日や季節による変動がある場合はお書きください。
Q021,施設の休館日・定休日（複数選択可）,checkbox,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,定休日が祝日の場合の翌日,年末年始,不定休,冬季休業,なし",FALSE,21,TRUE,
Q022,休館日・定休日についての補足,text,,FALSE,22,TRUE,例外的な開館・休館ルールがあればお書きください。
Q023,施設の入館料の有無,radio,"有料,無料",FALSE,23,TRUE,
Q024,(有料の場合)入館料：大人（円）,text,,FALSE,24,TRUE,半角数字のみ入力してください。
Q025,(有料の場合)入館料：大学生（円）,text,,FALSE,25,TRUE,半角数字のみ入力してください。設定がない場合は空欄。
Q026,(有料の場合)入館料：高校生（円）,text,,FALSE,26,TRUE,半角数字のみ入力してください。設定がない場合は空欄。
Q027,(有料の場合)入館料：中学生（円）,text,,FALSE,27,TRUE,半角数字のみ入力してください。設定がない場合は空欄。
Q028,(有料の場合)入館料：小学生（円）,text,,FALSE,28,TRUE,半角数字のみ入力してください。設定がない場合は空欄。
Q120,実施している入館料等の割引制度（複数選択可）,checkbox,"団体割引,障害者割引,高齢者割引,地域住民（市町村民）割引,会員割引（JAF・互助会等）,提携施設割引,その他,なし",FALSE,29,TRUE,
Q029,駐車場（台数）,text,,FALSE,30,TRUE,半角数字のみ入力してください。
Q030,公共交通機関でのアクセス：最寄りの駅・バス停までの距離（km）,text,,FALSE,31,TRUE,夜間観望会への参加を想定し、概算距離を半角数字で入力してください。
Q031,自家用車でのアクセス：最寄りのインターチェンジまでの距離（km）,text,,FALSE,32,TRUE,概算距離を半角数字で入力してください。
Q068,一般利用可能な宿泊施設の有無,checkbox,"施設内にあり（天文台附属）,近隣に提携施設あり,なし",FALSE,33,TRUE,
Q122,最寄りの宿泊施設との位置関係,radio,"天文台の敷地内・併設,近隣（徒歩圏内）,近隣（車で移動）,宿泊可能な施設はない",FALSE,34,TRUE,
Q035,天文台（望遠鏡）の開設年（西暦）,text,,FALSE,35,TRUE,施設全体の開館と異なる場合、望遠鏡の一般利用開始年を入力してください。
Q036,天文台（望遠鏡）の開設月,text,,FALSE,36,TRUE,
Q037,現在の主望遠鏡の設置年（西暦）,text,,FALSE,37,TRUE,更新されている場合、現在の鏡筒が設置された年を入力してください。
Q038,現在の主望遠鏡の設置月,text,,FALSE,38,TRUE,
Q039,据付型の天体望遠鏡の有無,radio,"ある,ない",FALSE,39,TRUE,
Q040,第1望遠鏡（最大口径）の口径（cm）,text,,FALSE,40,TRUE,半角数字のみ入力してください。
Q043,第1望遠鏡の光学系,radio,"反射,屈折,カセグレン系（シュミカセ含む）,その他",FALSE,41,TRUE,
Q044,第1望遠鏡のメーカー,radio,"西村製作所,ニコン（日本光学）,五藤光学,タカハシ,ミカゲ光器,旭精工研究所,昭和機械製作所,三鷹光器,自作,その他",FALSE,42,TRUE,
Q045,鏡の製作者（職人名）,radio,"ジンデン鏡,苗村鏡,田阪鏡,池谷鏡,メーカー製・不明,その他",FALSE,43,TRUE,特殊な鏡を使用している場合のみ選択してください。
Q041,第2望遠鏡の口径（cm）,text,,FALSE,44,TRUE,据付型望遠鏡が複数ある場合のみ入力してください。
Q047,保有する鏡筒の総数（台）,text,,FALSE,45,TRUE,可搬式を含む総数を半角数字で入力してください。
Q046,太陽望遠鏡の有無,radio,"はい,いいえ",FALSE,46,TRUE,
Q049,太陽望遠鏡のメーカー,text,,FALSE,47,TRUE,代表的なメーカー名を入力してください（例：コロナド、ラント等）。
Q051,移動天文台・可搬機材（複数選択可）,checkbox,"移動天文車（車両一体型）,台車付望遠鏡（大型双眼鏡含む）,持ち運び可能な望遠鏡,なし",FALSE,48,TRUE,
Q096,望遠鏡の保守点検（メンテナンス）頻度,radio,"毎年実施（メーカー点検含む）,数年おきに実施,不具合発生時のみ実施,実施していない",FALSE,49,TRUE,
Q097,ドームの保守点検頻度,radio,"毎年実施,数年おきに実施,不具合発生時のみ実施,実施していない",FALSE,50,TRUE,
Q098,主鏡の再メッキ・洗浄の実施状況,radio,"10年以内に実施した,20年以内に実施した,30年以内に実施した,設置以来実施していない,不明",FALSE,51,TRUE,
Q099,施設の長期保全計画（大規模修繕計画等）の有無,radio,"策定されている,策定されていない,検討中",FALSE,52,TRUE,
Q050,プラネタリウムの有無,radio,"はい,いいえ",FALSE,53,TRUE,
Q052,プラネタリウムの投影方式（複数選択可）,checkbox,"光学式,デジタル式,ハイブリッド式,モバイルプラネタリウム",FALSE,54,TRUE,
Q048,太陽観測における投影・映像展示の有無,radio,"はい,いいえ",FALSE,55,TRUE,
Q053,その他の設備（複数選択可）,checkbox,"天文宇宙分野の展示室,図書室・読書コーナー,研修室・講堂,宿泊施設,レストラン・カフェ,ミュージアムショップ",FALSE,56,TRUE,
Q089,車いす利用者の観測室へのアクセス,radio,"自力でアクセス可能（エレベーター・スロープあり）,介助があれば可能,アクセス不可（階段のみ）",FALSE,57,TRUE,
Q090,車いす利用者の望遠鏡による眼視観測,radio,"接眼部が低い位置まで下がるため可能,踏み台やリフト等で対応可能,モニター観望（電視観望）で対応,対応不可",FALSE,58,TRUE,
Q054,夜間観望会の実施有無,radio,"はい,いいえ",FALSE,59,TRUE,オンラインのみの場合は「いいえ」を選択してください。
Q055,定例夜間観望会の実施曜日（複数選択可）,checkbox,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,不定期",FALSE,60,TRUE,
Q056,夜間観望会の実施時間帯：夏季（4月～9月）,text,,FALSE,61,TRUE,例：19:00～21:00
Q057,夜間観望会の実施時間帯：冬季（10月～3月）,text,,FALSE,62,TRUE,例：18:00～20:00
Q085,定例夜間観望会の実施形式,radio,"時間枠制（開始時刻を決めて実施）,随時制（来館順に順次案内）,自由観覧制,その他",FALSE,63,TRUE,
Q086,（時間枠制の場合）1夜の実施回数,radio,"1回,2回,3回,4回,5回以上,該当しない",FALSE,64,TRUE,
Q058,夜間観望会1回あたりの定員の有無,radio,"ある,ない",FALSE,65,TRUE,
Q059,〔定員がある場合〕1回あたりの定員数（名）,text,,FALSE,66,TRUE,半角数字のみ入力してください。
Q060,夜間観望会の事前予約,radio,"必要,不要（当日受付）,団体のみ必要",FALSE,67,TRUE,
Q061,夜間観望会の料金体系,radio,"無料,有料(入館料に含む),有料(入館料とは別途必要)",FALSE,68,TRUE,
Q062,夜間観望会の料金：大人（円）,text,,FALSE,69,TRUE,別途料金が必要な場合のみ入力。
Q063,夜間観望会の料金：大学生（円）,text,,FALSE,70,TRUE,
Q064,夜間観望会の料金：高校生（円）,text,,FALSE,71,TRUE,
Q065,夜間観望会の料金：中学生（円）,text,,FALSE,72,TRUE,
Q066,夜間観望会の料金：小学生（円）,text,,FALSE,73,TRUE,
Q087,観望会悪天候時の対応（複数選択可）,checkbox,"プラネタリウム投影,3Dシミュレーションソフト（Mitaka等）の実演,工作教室,講話・おはなし,施設見学,中止,その他",FALSE,74,TRUE,
Q088,観望会における電視観望（EAA）の導入状況,radio,"毎回・ほぼ毎回使用,時々使用・天体による,イベント時のみ使用,導入していない・検討中",FALSE,75,TRUE,カメラで撮影した映像をモニター等で見せる手法。
Q093,観望会でのインバウンド（外国語）対応,radio,"英語等の解説が可能なスタッフが常駐,ポケトーク等の翻訳機で対応,要望があれば対応（要予約）,対応していない",FALSE,76,TRUE,
Q067,オンライン観望会の実施頻度,radio,"実施していない,年数回程度,月1回程度,週1回以上,不定期",FALSE,77,TRUE,
Q080,昼間の天体観望（金星・一等星・太陽等）の実施頻度,radio,"毎日（開館日は常時）,週に数回（土日等）,週に1回,月1回,年に数回,不定期,実施していない",FALSE,78,TRUE,
Q081,夜間の天体観望・星座案内の実施頻度,radio,"毎日（開館日は常時）,週に数回（土日等）,週に1回,月1回,年に数回,不定期,実施していない",FALSE,79,TRUE,野外での肉眼案内を含みます。
Q082,学校への出張授業（昼）の年間実施回数,text,,FALSE,80,TRUE,半角数字で入力してください。
Q083,学校への出張観望会（夜）の年間実施回数,text,,FALSE,81,TRUE,半角数字で入力してください。
Q084,社会教育施設等への出張講演・観望会の年間実施回数,text,,FALSE,82,TRUE,公民館活動など。
Q121,過去1年間に行った広報活動（複数選択可）,checkbox,"自治体広報紙への掲載,チラシ・パンフレットの作成・配布,テレビ取材対応,ラジオ取材対応,新聞取材対応,WEBメディアへの掲載,有料広告の出稿,SNSでの発信,動画サイトへの投稿,メールマガジン発行,その他",FALSE,83,TRUE,
Q117,施設が発行している出版物（複数選択可）,checkbox,"研究紀要・報告書,年報・事業報告書,広報誌・ニュースレター,施設パンフレット・要覧,発行していない",FALSE,84,TRUE,
Q119,地域での光害対策の実施状況（複数選択可）,checkbox,"環境省「星空観察」への参加,独自の空の明るさ調査,施設照明の光害対策（上方光束抑制等）,周辺地域への街灯対策の働きかけ,星空保護区の認定（申請中含む）,特になし",FALSE,85,TRUE,
Q118,天文台設置の主な経緯・きっかけ（複数選択可）,checkbox,"環境省「星空の街」選定,ふるさと創生事業,寄付・寄贈,地域住民からの要望,博覧会・イベント跡地利用,教育施設の整備,観光振興,不明",FALSE,86,TRUE,
Q074,施設の年間総入場者数（人）,text,,FALSE,87,TRUE,直近の会計年度（または2024年度）の実績を半角数字で入力してください。
Q075,昼間の観望会参加総人数（人）,text,,FALSE,88,TRUE,出張観望会を除く、施設内での実績。
Q076,夜間の観望会参加総人数（人）,text,,FALSE,89,TRUE,出張観望会を除く、施設内での実績。
Q077,昼間の出張観望会参加総人数（人）,text,,FALSE,90,TRUE,施設外での実施分。
Q078,夜間の出張観望会参加総人数（人）,text,,FALSE,91,TRUE,施設外での実施分。
Q079,オンライン観望会の視聴者数（人）,text,,FALSE,92,TRUE,把握している場合のみ入力。
Q091-1,望遠鏡の主たる使用目的（最も頻度が高いもの）,radio,"天体観望（社会教育・観光）,太陽観測,広報用素材撮影,学校教材の作成,新天体の捜索・観測,変光星等の学術観測,機器の調整・試験,その他",FALSE,93,TRUE,1番目にお選びください。
Q091-2,望遠鏡の主たる使用目的（2番目に頻度が高いもの）,radio,"天体観望（社会教育・観光）,太陽観測,広報用素材撮影,学校教材の作成,新天体の捜索・観測,変光星等の学術観測,機器の調整・試験,その他,該当なし",FALSE,94,TRUE,2番目にお選びください。
Q091-3,望遠鏡の主たる使用目的（3番目に頻度が高いもの）,radio,"天体観望（社会教育・観光）,太陽観測,広報用素材撮影,学校教材の作成,新天体の捜索・観測,変光星等の学術観測,機器の調整・試験,その他,該当なし",FALSE,95,TRUE,3番目にお選びください。
Q092,望遠鏡の稼働頻度,radio,"晴天時はほぼ毎日,晴天時の半分程度,晴天時の3割程度,イベント時のみ（1割以下）,ほとんど稼働していない",FALSE,96,TRUE,
Q069,望遠鏡が設置されている施設の主たる区分,radio,"天文台（単独施設）,博物館・科学館,野外活動施設（自然の家等）・公園,社会教育施設（公民館・図書館等）,学校教育施設,児童福祉施設（児童館等）,宿泊施設（ホテル・ペンション等）,その他",FALSE,97,TRUE,最も実態に近いものを1つ選んでください。
Q071,施設の設置主体,radio,"都道府県,市区町村,国・独立行政法人,民間企業・個人,財団・社団・NPO,その他",FALSE,98,TRUE,
Q070,設置主体の担当部局,radio,"教育委員会（社会教育・生涯学習）,首長部局（観光・商工）,首長部局（企画・政策）,民間・その他",FALSE,99,TRUE,
Q073,施設の経営主体（指定管理者等）,radio,"都道府県,市区町村,外郭団体（財団・社団等）,民間企業,NPO・ボランティア団体,その他",FALSE,100,TRUE,
Q072,経営・運営主体の担当部局,radio,"直営（設置主体と同じ）,指定管理者（民間企業）,指定管理者（財団・社団等）,その他",FALSE,101,TRUE,
Q105,指定管理者制度の導入状況,radio,"導入している,導入していない（直営）,検討中",FALSE,102,TRUE,
Q106,(導入している場合)指定管理の契約期間（年）,text,,FALSE,103,TRUE,半角数字で入力してください。
Q107,指定管理者の選定方法,radio,"公募プロポーザル,非公募（特命随意契約）,その他",FALSE,104,TRUE,
Q108,前回調査（2018年）以降の運営団体の変更,radio,"変更あり,変更なし,新規施設のため該当なし",FALSE,105,TRUE,
Q109,指定管理者の変更に伴う職員の入れ替わり,radio,"全員・ほとんどが入れ替わった,一部が入れ替わった,継続雇用されている,該当なし",FALSE,106,TRUE,
Q042,設置根拠となる法律（複数選択可）,checkbox,"博物館法,図書館法,学校教育法,社会教育法,その他",FALSE,107,TRUE,
Q110,施設の設置目的を定めた条例の有無,radio,"ある,ない,不明",FALSE,108,TRUE,公的施設の場合のみ回答。
Q115,博物館法上の位置づけ,radio,"登録博物館,博物館相当施設,博物館類似施設,指定なし（博物館法外）",FALSE,109,TRUE,
Q116,今後の博物館登録への意向,radio,"登録を目指している,現状維持,検討中,目指していない",FALSE,110,TRUE,
Q094,人件費・光熱費を除いた天文台の年間事業予算,radio,"0円（予算なし）,200万円未満,200万円以上～500万円未満,500万円以上～1000万円未満,1000万円以上",FALSE,111,TRUE,
Q101,天体観望会等の運営に関わるスタッフの人数（内訳）,text,,FALSE,112,TRUE,「正規：○名、非正規：○名、ボランティア：○名」のように記入してください。
Q103,正規職員の主な担当業務（複数選択可）,checkbox,"受付・事務,施設管理・清掃,利用者案内,プラネタリウム投影,学校対応,広報・SNS,観測・研究,その他",FALSE,113,TRUE,
Q104,職員が保有する資格・学位（複数選択可）,checkbox,"学芸員,教員免許,博士号,修士号,学士,社会教育主事,司書,特になし",FALSE,114,TRUE,施設全体での保有状況をお答えください。
Q100,職員の研究・観測活動の扱い,radio,"業務として認められている,一部認められている（時間外等）,業務としては認められていない",FALSE,115,TRUE,
Q113,ボランティア組織・友の会の有無,radio,"施設運営のボランティアがある,施設公認の友の会・同好会がある,両方ある,いずれもない",FALSE,116,TRUE,
Q114,（ある場合）ボランティアの運営への関与度,radio,"ボランティアなしでは運営不可（主体的）,イベント時等の補助的役割,運営には直接関与していない",FALSE,117,TRUE,
Q111,外部有識者による運営協議会・委員会の有無,radio,"ある,ない",FALSE,118,TRUE,
Q112-1,施設運営において最も重視している評価指標（1番目）,radio,"入館料収入（利益）,利用者数,経費削減,情報発信・広報効果,地域連携・市民参画,教育普及（学校・生涯学習）,調査・研究成果,その他",FALSE,119,TRUE,最も重視しているものを1つ選んでください。
Q112-2,施設運営において重視している評価指標（2番目）,radio,"入館料収入（利益）,利用者数,経費削減,情報発信・広報効果,地域連携・市民参画,教育普及（学校・生涯学習）,調査・研究成果,その他",FALSE,120,TRUE,2番目に重視しているものを1つ選んでください。
Q112-3,施設運営において重視している評価指標（3番目）,radio,"入館料収入（利益）,利用者数,経費削減,情報発信・広報効果,地域連携・市民参画,教育普及（学校・生涯学習）,調査・研究成果,その他",FALSE,121,TRUE,3番目に重視しているものを1つ選んでください。